codmun,pharmacy,hospital,police,school,bank,embassy,tower,commercial,industrial,government,supermarket,park,primary,secondary,unpaved,paved
2210,5,0,1,0,1,0,251,0,0,0,0,0,9,113,77,4
2201,4,2,2,6,5,0,456,0,0,0,0,0,109,145,198,4
2204,20,1,1,9,14,0,578,0,0,0,0,0,151,373,358,366
2208,5,1,3,3,13,0,266,0,1,0,0,0,69,223,122,104
2206,6,2,0,6,12,0,269,0,0,0,0,0,108,262,252,33
2475,37,1,2,6,13,1,506,0,1,0,0,0,116,259,83,260
2406,13,0,0,8,4,0,390,0,0,0,0,0,129,122,95,41
2405,19,1,null,5,16,0,519,0,0,0,0,0,111,276,50,120
2407,20,0,2,13,8,0,245,0,0,0,0,0,143,228,67,41
2408,15,4,5,7,13,0,485,0,0,0,0,0,172,109,65,209
2409,9,1,1,4,3,0,348,0,1,0,0,0,62,177,74,16
2474,10,1,0,2,7,0,111,0,0,0,0,0,17,50,10,24
2410,23,5,0,11,18,0,407,0,0,0,0,0,145,167,105,98
2476,13,2,1,5,9,0,38,0,0,0,0,0,34,0,2,11
2411,31,1,0,7,26,0,288,1,0,0,0,0,97,364,61,154
2477,11,0,0,8,10,0,193,0,0,0,0,0,242,0,27,118
2412,13,2,1,15,14,0,524,0,0,0,0,0,258,478,132,2011
2478,26,1,6,128,31,0,248,1,0,0,0,0,158,214,54,238
2479,6,0,1,1,7,0,136,0,1,0,0,0,63,283,25,279
2413,28,9,3,5,26,0,466,0,2,0,0,0,259,98,205,508
2414,11,2,2,13,9,0,414,0,0,0,0,0,81,64,40,50
2402,39,6,2,6,20,0,487,0,0,0,0,0,119,100,98,200
2401,26,2,5,13,11,1,697,0,0,0,0,0,410,133,138,234
2415,28,4,1,39,25,0,361,0,2,0,0,0,104,181,53,221
2416,17,1,2,15,14,0,854,0,0,0,0,0,133,183,66,36
2403,38,3,2,22,37,0,592,0,0,0,0,0,90,340,88,202
2472,45,0,1,23,32,0,352,3,12,0,0,0,33,296,83,79
2417,29,1,4,15,10,0,451,0,0,0,0,0,41,186,173,228
2467,11,4,1,21,17,0,314,0,1,0,0,0,0,114,60,30
2463,13,2,2,21,20,0,110,0,0,0,0,0,86,14,9,28
2461,38,1,1,5,28,0,362,0,0,0,0,0,197,374,33,208
2462,36,1,2,9,44,0,207,0,0,0,0,0,207,161,47,456
2404,16,1,2,16,8,0,785,0,1,0,0,0,344,198,268,100
