codmun,pharmacy,hospital,police,school,bank,embassy,tower,commercial,industrial,government,supermarket,park,primary,secondary,unpaved,paved
20175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20177,1,0,0,0,0,0,129,0,0,0,0,0,7,0,4,2
20178,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
20179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20181,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
20184,0,0,0,1,0,0,553,0,0,0,0,0,30,12,79,71
20185,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1
20186,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20187,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20189,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
20190,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0
20191,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3
20192,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20196,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
20197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20198,0,0,0,0,0,0,158,0,0,0,0,0,11,4,0,0
20199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
20202,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0
20203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20204,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
20205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20206,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
20207,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
20208,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
20209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20210,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
20211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20221,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
20222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20226,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
20227,0,0,0,0,0,0,24,0,0,0,0,0,4,3,12,0
20228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20232,0,0,0,0,0,0,42,0,0,0,0,0,3,0,0,0
20233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20235,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20237,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
20238,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
20239,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
20240,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
20241,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
20243,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
20244,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
20245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20247,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
